index,open,high,low,close,adjusted_close,volume,dividend_amount,Company_Ticker,Company_Name,month,year
2,118.9400,129.3400,117.1100,120.1700,120.1700,33128020,0.1940,A,Agilent Technologies,1,2021
13,26.9300,30.7800,18.7700,19.0500,19.0500,263006294,0.1000,AAL,American Airlines Group,2,2020
0,162.1300,187.3300,161.1900,185.6500,185.6500,18346378,0.2500,AAP,Advance Auto Parts,3,2021
1,133.7500,137.8770,118.3900,121.2600,121.2600,1825486961,0.2050,AAPL,Apple Inc.,2,2021
2,107.1800,113.4100,101.8117,102.4800,102.4800,147712852,1.3000,ABBV,AbbVie Inc.,1,2021
1,104.8600,112.8800,100.7100,101.2200,101.2200,21365578,0.4400,ABC,AmerisourceBergen,2,2021
2,109.5300,124.7200,107.2551,123.5900,123.5900,108927983,0.4500,ABT,Abbott Laboratories,1,2021
2,261.0000,266.5300,241.7300,241.9200,241.9200,37983334,0.8800,ACN,Accenture,1,2021
192,62.0600,68.9500,61.5100,67.1700,33.5850,61531700,0.0125,ADBE,Adobe Inc.,3,2005
1,148.3400,164.4000,147.0000,155.8200,155.8200,55210475,0.6900,ADI,"Analog Devices, Inc.",2,2021
1,50.4800,58.6800,50.1800,56.5800,56.5800,47956333,0.3700,ADM,Archer-Daniels-Midland Co,2,2021
0,175.7700,190.5000,169.9250,187.0000,187.0000,46096370,0.9300,ADP,Automatic Data Processing,3,2021
192,29.9300,30.5000,28.0600,29.7600,29.7600,49296400,0.0150,ADSK,Autodesk Inc.,3,2005
0,70.9400,82.4400,70.4250,81.5900,81.5900,33998094,0.5500,AEE,Ameren Corp,3,2021
1,81.1000,83.0300,74.8000,74.8500,74.8500,52125159,0.7400,AEP,American Electric Power,2,2021
2,23.7100,28.6750,22.8200,24.3900,24.3900,141529657,0.1505,AES,AES Corp,1,2021
1,45.3900,50.1500,44.8550,47.8900,47.8900,76994591,0.3300,AFL,Aflac,2,2021
0,44.9000,49.0000,44.5400,46.5000,46.5000,93671224,0.3200,AIG,American International Group,3,2021
1,135.8300,136.2950,121.5500,123.2200,123.2200,12980041,0.6600,AIZ,Assurant,2,2021
0,120.2100,129.0000,119.9200,124.9600,124.9600,20080619,0.4800,AJG,Arthur J. Gallagher & Co.,3,2021
0,160.0500,162.0000,133.8227,148.9300,148.9300,25800125,0.3900,ALB,Albemarle Corporation,3,2021
13,65.1300,66.9550,49.4450,50.4600,50.4600,27359409,0.3750,ALK,Alaska Air Group,2,2020
0,107.6500,117.8000,107.4900,114.7100,114.7100,50681743,0.8100,ALL,Allstate Corp,3,2021
0,109.7500,123.6800,107.7500,123.4800,123.4800,16699147,0.3600,ALLE,Allegion,3,2021
1,99.2460,124.5000,97.6800,118.1900,118.1900,165879875,0.2200,AMAT,Applied Materials Inc.,2,2021
1,11.0200,11.5800,10.6600,10.9400,10.9400,121637532,0.1175,AMCR,Amcor,2,2021
0,119.5300,125.7800,118.4100,123.0500,123.0500,20520347,0.2000,AME,Ametek,3,2021
1,244.3000,245.4800,223.6150,224.9200,224.9200,46657426,1.7600,AMGN,Amgen Inc.,2,2021
1,199.8200,233.9100,196.7700,221.2400,221.2400,12093453,1.0400,AMP,Ameriprise Financial,2,2021
3,232.0000,236.3900,215.4100,224.4600,224.4600,52989829,1.2100,AMT,American Tower Corp.,12,2020
0,307.6600,367.9100,306.3600,366.8700,366.8700,28788548,1.1300,ANTM,Anthem,3,2021
2,211.0400,214.1250,200.6500,203.1000,203.1000,29556860,0.4600,AON,Aon plc,1,2021
2,54.7000,60.4500,52.0800,54.3000,54.3000,27959661,0.2600,AOS,A.O. Smith Corp,1,2021
2,14.6500,19.3200,14.0300,14.2800,14.2800,182406293,0.0250,APA,Apache Corporation,1,2021
