year,Company_Ticker,Company_Name,total_divs_paid
2000,A,Agilent Technologies,0.0
2000,AAPL,Apple Inc.,0.0
2000,ABC,AmerisourceBergen,0.0
2000,ABMD,Abiomed,0.0
2000,ABT,Abbott Laboratories,0.3322
2000,ADBE,Adobe Inc.,0.075
2000,ADI,"Analog Devices, Inc.",0.0
2000,ADM,Archer-Daniels-Midland Co,0.1908
2000,ADP,Automatic Data Processing,0.365
2000,ADSK,Autodesk Inc.,0.24
2000,AEE,Ameren Corp,2.54
2000,AEP,American Electric Power,2.4
2000,AES,AES Corp,0.0
2000,AFL,Aflac,0.33
2000,AIG,American International Group,0.174
2000,AJG,Arthur J. Gallagher & Co.,0.92
2000,AKAM,Akamai Technologies,0.0
2000,ALB,Albemarle Corporation,0.46
2000,ALL,Allstate Corp,0.68
2000,ALXN,Alexion Pharmaceuticals,0.0
2000,AMAT,Applied Materials Inc.,0.0
2000,AMD,Advanced Micro Devices,0.0
2000,AME,Ametek,0.24
2000,AMGN,Amgen Inc.,0.0
2000,AMT,American Tower Corp.,0.0
2000,AMZN,Amazon.com Inc.,0.0
2000,ANSS,"ANSYS, Inc.",0.0
2000,AON,Aon plc,0.22
2000,AOS,A.O. Smith Corp,0.38
2000,APA,Apache Corporation,0.201
2000,APD,Air Products & Chemicals,0.75
2000,APH,Amphenol Corp,0.0
2000,ARE,Alexandria Real Estate Equities,1.29
2000,ATO,Atmos Energy,1.13
2000,ATVI,Activision Blizzard,0.0
2000,AVB,AvalonBay Communities,2.24
2000,AVY,Avery Dennison Corp,1.11
2000,AXP,American Express,0.465
2000,AZO,AutoZone Inc,0.0
2000,BA,Boeing Company,0.56
2000,BAC,Bank of America Corp,2.06
2000,BAX,Baxter International Inc.,1.164
2000,BBY,Best Buy Co. Inc.,0.0
2000,BDX,Becton Dickinson,0.3725
2000,BEN,Franklin Resources,0.245
2000,BF-B,Brown-Forman Corp.,1.57
2000,BIIB,Biogen Inc.,0.0
2000,BIO,Bio-Rad Laboratories,0.0
2000,BK,The Bank of New York Mellon,0.6888
2000,BKNG,Booking Holdings Inc,0.0
2000,BLK,BlackRock,0.0
2000,BLL,Ball Corp,0.6
2000,BMY,Bristol-Myers Squibb,0.98
2000,BRK.B,Berkshire Hathaway,0.0
2000,BSX,Boston Scientific,0.0
2000,BWA,BorgWarner,0.6
2000,BXP,Boston Properties,2.04
2000,C,Citigroup Inc.,0.6
2000,CAG,Conagra Brands,0.8355
2000,CAH,Cardinal Health Inc.,0.115
2000,CAT,Caterpillar Inc.,1.33
2000,CB,Chubb Limited,0.92
2000,CCI,Crown Castle,0.0
2000,CCL,Carnival Corp.,0.42
2000,CDNS,Cadence Design Systems,0.0
2000,CERN,Cerner,0.0
2000,CHD,Church & Dwight,0.28
2000,CHRW,C. H. Robinson Worldwide,0.29
2000,CI,Cigna,1.24
2000,CINF,Cincinnati Financial,0.76
2000,CL,Colgate-Palmolive,0.6315
2000,CLX,The Clorox Company,0.82
2000,CMA,Comerica Inc.,1.6
2000,CMCSA,Comcast Corp.,0.0
2000,CMI,Cummins Inc.,1.2
2000,CMS,CMS Energy,1.46
2000,CNP,CenterPoint Energy,1.5
2000,COF,Capital One Financial,0.1067
2000,COG,Cabot Oil & Gas,0.16
2000,COO,The Cooper Companies,0.08
2000,COP,ConocoPhillips,1.36
2000,COST,Costco Wholesale Corp.,0.0
2000,CPB,Campbell Soup,0.9
2000,CPRT,Copart Inc,0.0
2000,CSCO,Cisco Systems,0.0
2000,CSX,CSX Corp.,1.2
2000,CTAS,Cintas Corporation,0.28
2000,CTSH,Cognizant Technology Solutions,0.0
2000,CTXS,Citrix Systems,0.0
2000,CVS,CVS Health,0.2315
2000,CVX,Chevron Corp.,2.6
2000,D,Dominion Energy,2.58
2000,DD,DuPont de Nemours Inc,1.4
2000,DE,Deere & Co.,1.09
2000,DGX,Quest Diagnostics,0.0
2000,DHI,D. R. Horton,0.146
2000,DHR,Danaher Corp.,0.2252
2000,DIS,The Walt Disney Company,0.21
2000,DISH,Dish Network,0.0
2000,DLTR,Dollar Tree,0.0
2000,DOV,Dover Corporation,0.48
2000,DRE,Duke Realty Corp,1.64
2000,DRI,Darden Restaurants,0.08
2000,DTE,DTE Energy Co.,2.06
2000,DUK,Duke Energy,2.6125
2000,DVA,DaVita Inc.,0.0
2000,DVN,Devon Energy,0.2
2000,EA,Electronic Arts,0.0
2000,EBAY,eBay Inc.,0.0
2000,ECL,Ecolab Inc.,0.49
2000,ED,Consolidated Edison,2.18
2000,EFX,Equifax Inc.,0.37
2000,EIX,"Edison Int'l",1.11
2000,EL,Estée Lauder Companies,0.2
2000,EMN,Eastman Chemical,1.76
2000,EMR,Emerson Electric Company,1.456
